label,x
1,shut hashtags cool offended
1,makes fucking irate jesus nobody calling ppl like hajime abusive stop strawmen lmao
1,lol adam bull fake outrage
1,passed away early morning fast furious styled car crash leaving atl strip club rough stuff
1,lol wow gonna say really   haha seen chris nah  dont even snap anymore dude 
1,need ðÿ±sushi dateðÿ™ ðÿan olive guarded dateðÿ§€ ðÿ‘šðÿ¼rockys dateðÿ•
1,republicans   namely graham  flake  sasse others safe wrath  hence hillary hineykissing ad saw
1,like rabid dog pulled backs cupboards looking bakewellfound french fancie  mini batternburg winner 
1,telling racist bigots always resort insult fag like worse racist bigot
1,follow follow relentless success
1,dude new madden 17  haha
1,ca nt come muma 60th 25k tweets ðÿ™ˆ bitter soreloser
1,lol little things like make angry x
1,one day tiff one day 
1,dean really saving lot ppl  bc nt snap nomore  take much
1,knew softballs could sting bad  jimmy fallon lot heat ldquosoftballrdquo donald trump interview
1,women nt like girls resent looking greatwe wish still looked like washed
1,outrage party nominated lying  corrupt person  received donations nations support terror
1,swear got anger issues heart big af
1,75 tierney reaches deep cross back post plays back across alloa defence clear celtic relentless
1,joke fuming
1,love people make plans without actually including process rage
1,quick listen  slow speak  slow 
1,like burning rap albums buy first  gosh darn  get rid
1,haha actually  doggies barracking anyone gws  bitter
1,yuuuhh ðÿ™„ðÿ˜­ plus clin ep prevmed ugghhh hahaha bitter
1,wasp sting itchy
1,grateful hungry people life  hungry learn  change  grow  help  etc  sure anybody better 
1,king insult intelligence black community people thinking 
1,giroud beard making angry
1,honest hope annoying southern bint look pout goes week  selasi ftw
1,well  archie offense kinda old
1,wow heard forever random great xph
1,burns pick pitches nt get like ðÿ˜¢ðÿ˜¢ sting
1,icq making mad   ðÿ˜¤ icq angry
1,angry  bash frustration pastry gbbo
1, straight people even arse straight guys think means threesome fine angry fuming
1,oh daaaaaaamn getitgirl girlpower anger rawr chicagopd
1,oh dear watch woman pout well
1,totally knew trump finally gets revenge soninlaw prosecutionimprisonment throws christie bus
1,decorations jersey already outrage
1,going get city next round revenge
1,case raging moody cow lol buy moody cow socks lol
1,respect people force opinions others yet get offended someone ðÿ˜‚
1,tip everyone stop offended end offended quit youredumb liveyourownlife
1,vanity sizes sizes xs  evenxxs sometimes  big  wtf   dear corporate jerks  lithuania nt need rant angry
1,ultimately  keithscott nt man hand arrest warrant know enough cause outrage
1,genuinely think anger issues
1,nick said territorial growl someone gets close hesananimal
1,getting lost  nt want see eyes  hungary huffed crossed arms  looking away angrily
1,fact  sometimes nt get furious people wrong  get furious fool
1,good luck furyhaney players playing weekend future stars showcase frisco  tx kgb gtown fury
1,forget mention bought dreamboys tickets ðÿ™„ðÿ˜‚ raging
1,cigarette burning laura hand  angle chin  purse lips   104  gorgeous transition  
1,rangers v celtic revenge
1,scorpio withdraw quiet place hurt  think plan sting back
1,haha actually  doggies barracking anyone gws 
1,personally liked relentless â€¦did nt get ourhouse onejersey werealldevilsinside nothing till puck drops njdevils
1,see end bitter tragedy give spend give nothing back
1,tonight dragrace allstars2 episode gave life  yaassss queens  teamalaska teamkatya revenge bwahaha
1,complain time wonder people never want see acc rile stfuuu    
1,everything see american police training seems calculated trample human dignity  inflame outrage  escalate confrontations
1,wanna kill destroy want died want flint back emo scene fuck die hatered
1,thanks saying wife getting iphones today losing eta thanks
1, 3 days later order nt even postcode
1,nt think monalisa respect anyone  think ruffle feathers thejail
1,another loss city cup next ðÿ™ˆ ðÿ˜‚ðÿ˜‚ cmon united 
1,shady one jongdae ex rumoured girlfriends going wgm saying joyed joyed bitter
1,unbelievable takes 10 minutes get fault call hangs treatcustomersfairly
1,nt know nt punk mostly white men throwing tantrums 
1,skipping meals national way showing disappointment  wiz
1,stupid  hate lol bitter
1,bitter sums  congrats nicole  folks bb18 onto survivor 
1,time man got paid throw temper tantrums speaks  gotta listen
1,wonder would happen tell people truth savage uhoh angry
1,cheap pout brodcast
1,houston might lose coach tomorrow midnight yikes offense 
1,turned rather fiery gg radical 
1,man affront justice system
1,still got whole season wentworth watch stupid cunt work ruins us ðÿ˜­ðÿ˜­ oldcunt
1,wow realized much sexist pig  truly sorry anyone offended
1,howard webb always held knowing answers red sutton craigan raging  hahaha
1,frown  let distraught gardevoir saying wishes trainer
1,casuals tweets vic faved making gag
1,terence got lot anger issues family school
1,spent campaign dividing people pitting message fear resent
1,winning war raging inside mind desire love rolling something 
1,jared  snap  ðÿ’˜
1,came silly oclock woke happened wasted fuming
1,finally uploaded file needed university server drop box took like half hour lot cursing anger part
1,nephew sees frown face tells beautiful  ðÿ˜¢ðÿ’žðÿ˜©
1,actually arsed sister sometimes  controls tv 90 time watch one thing gets huff ðÿ™„
1,help maintain boost status world class centre education  culture tolerance outrage
1,bpharm4 guy eish guy brings anger life see nje like darkness fills know
1,says  compared others human lit fire
1, nipples nt offend lol sad see women purposely flauntingsexualizing bodies immodest way
1,hope hustle nt offend nobody
1,ramos best burning haters head
1,nt meaning offend saying personal experience kids got placed classes take advantage
1,luck rest fall goes anything like today  think going like season bestdayever magic work
1,follow snapchat ðÿ‘» carlabtst15 snapchat
1,hurts much eat  read somewhere marshmallows good bc soft nt irritate
1,book im riteing wots happond made moor angry im plese man hide eval deeds
1,nt join put phone  talk rude taking money acc willynilly 
1,sorry burst bubble never illusion ðÿ™ˆðÿ˜‚ðÿ˜‚
1,thing feed naay raging something brother filling gaps
1,cmode grimrail made want eat angry bees
1,mom cut phone furious ðÿ¤—
1,nt chase fame going resent starts chasing wrdsmth
1,hate answers need tomourssuck prayinsnotcancer angry
1,excited watch allstars rupaul
1,indian uber driver called someone n word nt moving vehicle jumped disgusted
1,hudcomedy adamrowe insult slutfaceshlongnugget
1,na kids relentless
1,mfs bitter
1,like hello  first born must always laugh jokes offended
1,really really resent go bed sensible hour  guys want talk people
1,hit lot irate villa fans lol
1,eh well sting vs cactus loser leaves wcw match bash beach lol
1,golden ocean day lush  gagged sick waste â£20  fuming miss
1,gotta wonder caller max listens show first place incense
1,thou wilt valiant wrathful dove  magnanimous mouse william shakesphere
1,black female leoðÿ’™ shot 8 times died philadelphia outrage black people  sharpton blm thefive
1,fret scuffs iâ€™ll take scuffs  whichâ€¦come  phone use wet handed drop toilet day
1,need attention  nt pout
1,believe gonna start singing snap stories tractor switch little bit
1,please tell us protesting injustice requires burning beating looting terrible optics toussaintromain true leader 
1,people need look definition protest protesting called vandalism stop
1,bored rn leave kiksnapchat kik kikme kikmessage boredaf bored snapchatme snapchat country countrygirl
1,feel travel 700 miles pick form arrives post two days leave fume
1,happy birthday seedâ€¼ï¸â€¼ï¸â€¼ï¸ renewtherivalry imyourdaddy cantbeatme madden tater
1,ceremony next time meet involve burning something  possibly booze andor caffeine
1,need today  u know many fuckin french plaits morn stroppy 9 yr old 
1,28 yr old man threw saucepan boiling water garda   hit garda shaft brushletterkenny district court
1,jv girls earn w vs stonington 21 today goals k waite winakor 1 assist 
1,broadband shocking regretting signing angry shouldofgonewithvirgin
1,fuck supposed lunch  dinner  money work hangry day5
1,fury road  
1,wish next madden story mode like fifa 17
1,already gets aggravated fast like aggravate purpose 
1,yo gurls dm tribute ðÿ˜œðÿ’¦ snapme dm nudes tribute cumtribute cock snap cum swallow
1,ðÿ˜‚ðÿ˜‚ oh zombie rage ðÿ˜‚
1,circle k dead hate new slushie machine livid
1, 3 days later order nt even postcode fuming
1,delays streatham cmn clap junc  train took 20 mins 9 mins journey missed 2 trains reading fuming
1,raging angry12 bil  2 pro liars  actors  useless people america working 100 x harder  
1,never make decision  angry   never make promis happy   
1,almost feel offended thinks big deal knows literally anything kai
1,grateful hungry people life  hungry learn  change  grow  help  etc  sure anybody better  relentless
1,trudeau endulging outrage culture preaching issues ad hominem never quanitfying
1,wanna know outrage black black crime one knows victims blm kill cops based media
1,nt even feel anger anymore ca nt explain  tulsa charlotte trayvon sandrabland philando ferguson batonrouge michaelbrown
1,chris ate mac n cheese imma eat taffy revenge
1,heard movie bob furious skittles analogy upset nt actually skittles
1,offended lies alexandria goddard nt mean deric friend anything else purely fishin expedition
1,directing anger thieves governmentcorruption feesmustfall
1,okay annoyed  nt done good job furious
1,u wen ur love cheats u  wen thy nt understand emotions behind anger  constant waiting u  
1,room jokes hockey  serious business made teams fill tournament  outrage
1,  well cucks among ranks agree equally outrage black youths shot harambe
1,turn shit  home button accessibility innovation become mind fuckery  rage iphonephonehome
1,ever put fist laptops screen  time new one lmao rage anger hp
1,panpiper playing big river outside bridges sr1 outrage
1,â€œdo fret cool  humans follow  become instantly cool â€ bot
1,found candice candace pout likes ðÿ˜
1,controlling anger sign righteous people promised paradise quran surah al imran verses 133134 reward gooddeed
1,apparently supposed scottish accent    offended
1,candice great british bake pout head ðÿ‘šðÿ»ðÿ™„
1,switch host bullet rage
1,assure laughter  increasing anger costs  arrogance westminster
1,seems like fight ready rage
1,prayers  protection brothers sisters fighting charlotte rage machines
1,gonna eat  pick brother  get car washed  finally go home ressssst  watch fast  furious movies ðÿ¤˜ðÿ¼
1,630am meeting olympic house 10golds24  relentless neverquit believe dreambig teamtto going4gold
1,think highprofile female colleague would one yhat category massexodus
1,game day     minus 1430
1,think highprofile female colleague would one yhat category massexodus bitter
1,u time 2 open snap  u time 2 respond
1,species cf jr refugeesskittlesknow likes snacks even frown talking eating humans lizardscum
1,ok fast  furious movies classified comedy  ðÿ¤”
1,accidetly dumped boiling water ðÿ˜«
1,one month til someone bday think time flaunt got something pretty awesome revenge
1,dentist said going numb front lip feel got lips like pete burns  right
1,mistake half assed excuse burning hell forever
1,anyway car furious white men really funny story tell sober ðÿ˜‚
1,ballmer furious another delivery lost
1,bitter nicole cory evicted
1,best revenge massive success â€“frank sinatra
1,adp ezlabor web portal slowest web app ever displeasure using  
